term,no_context,basic_context,no_context_percentile,basic_context_percentile
identity elements,0.9333107633665993,0.9638695884653906,41.09375,64.0625
identity function,0.8975218115668404,0.9338601934641872,4.0625,0.78125
identity matrix,0.9063656778512678,0.9297174062332694,9.6875,0.3125
image,,,,
inconsistent,,,,
index of a subgroup,0.9353678871333138,0.9480096575189846,44.53125,10.9375
induced homomorphism on fundamental group,0.9727199995188962,0.9716262657033867,95.15625,85.9375
induced orientation,0.8927283932019804,0.958224484098241,2.96875,38.28125
inductively,,,,
infimum,,,,
injection,,,,
injective,,,,
inner automorphism of a group,0.9600052135778392,0.9684589373713834,83.90625,78.90625
inner automorphism of a Lie algebra,0.9714174028444068,0.9745881762641304,93.75,91.25
inner derivation,0.9307494319767802,0.9575493799346774,36.25,35.9375
inner product,0.8817194198684888,0.9542703425331482,1.5625,24.6875
inner product space,0.9351989021404521,0.9648246109685342,44.21875,68.125
inner products,0.8694047240547004,0.953899213374495,0.625,23.4375
inner regular,0.9435739582927232,0.9611408251523508,60.15625,50.78125
integrable,,,,
integral,,,,
integral domain,0.9055798326457368,0.9439437097708595,9.0625,5.0
interior,,,,
interior points of a manifold,0.9549738174433726,0.9640624882382072,78.90625,65.0
intersection,,,,
intertwiner,,,,
interval,,,,
intervals,,,,
invariant,,,,
invariant polynomials under group action,0.966938857919151,0.9650009822320935,91.09375,68.90625
invariant subspace,0.9444189426241406,0.9506145993481264,61.71875,15.625
inverse,,,,
inverse element,0.9526116355228845,0.9603986609422583,76.25,46.5625
inverse function,0.9377031200587894,0.9599365136310538,48.4375,44.375
inverse image,0.9416072385892507,0.959593407507449,55.78125000000001,42.03125
inverse matrix,0.9459420639130749,0.9475066276861172,65.0,10.625
inverses,,,,
invertible,,,,
invertible linear transformations,0.9614649175231669,0.9670316917964732,85.78125,75.0
irreducible,,,,
irreducible element of an integral domain,0.9705368074707215,0.9728966826631625,92.8125,88.28125
irreducible representation,0.9300772275600275,0.9606889941642862,35.15625,47.96875
irreducible representations,0.9266619799553165,0.9543451970464235,30.46875,25.156250000000004
irreducibles,,,,
is,,,,
isolated point,0.9008035835771615,0.946319105200685,6.406249999999999,8.90625
isolated points,0.9105089578700758,0.9471815480039305,13.593749999999998,10.15625
isolated singularity,0.9107691647886014,0.9454570262322519,13.90625,7.8125
isometry,,,,
isomorphic,,,,
isomorphism,,,,
isomorphism of group representations,0.966001860321147,0.9702898279767064,90.3125,82.8125
isomorphism of Lie groups,0.9647257730659162,0.9742025523202826,89.53125,90.78125
isotypic component,0.9478196407987065,0.9737981782298567,67.34375,90.0
its,,,,
Jacobian determinant,0.9393778573757816,0.959760445659191,50.78125,43.4375
Jacobian matrix,0.9280749094793421,0.9473087546939368,32.65625,10.3125
k-forms,,,,
kernel,,,,
kernel of group homomorphism,0.9505896517902745,0.9474529804523022,72.03125,10.46875
kernel of linear transformation,0.9484854169144491,0.9518087838146196,67.8125,18.59375
kernel of module homomorphism,0.9552901927574676,0.9553569386341582,79.375,27.500000000000004
Kronecker delta,0.9469664596031316,0.9596196020518744,66.25,42.1875
L,,,,
L2 inner product on group functions,0.9765898096911152,0.9780920114473887,96.71875,95.46875
Laplacian,,,,
lattice,,,,
lattice complement,0.9230549571777673,0.9458076659745964,26.875,8.125
Laurent series,0.9319553992995022,0.9453124696147165,38.59375,7.34375
Lebesgue integral,0.9322182149055442,0.9506212502444367,39.21875,15.78125
Lebesgue integral of a simple function,0.9791677371059748,0.9798660185449358,96.875,96.40625
Lebesgue integral of characteristic function,0.9848691493422692,0.9856012553268985,99.21875,98.59375
Lebesgue integral of characteristic functions,0.9813621639215561,0.9871969421790379,97.96875,98.90625
Lebesgue integrals,0.9205230395357762,0.9556564055770039,23.59375,28.281250000000004
Lebesgue measurable,0.9505185983302227,0.9764404511975887,71.71875,93.4375
Lebesgue measurable function,0.9680654995159023,0.9724145785644884,91.5625,87.1875
